P06241
P10275
Q9BRK3
P04626
O00481
O75330
Q9NP95
Q9NR96
Q93098
P21810
Q7Z7D3
Q9UKJ0
P34741
P50406
P39059
Q12866
P31997
O14788
O95156
Q6UY18
Q9UQQ2
Q92896
P45452
O15354
P25189
Q29983
O60565
Q8NHW4
P55196
O15444
P35625
Q08722
P40259
P39900
P02751
Q15818
Q92854
P08754
P12034
Q96PX8
Q9NV23
P01909
Q99466
COMPLEX:P05111_P08476
Q9Y6N6
Q9NYA4
O43300
P61626
Q14393
Q9UMF0
P24043
Q9NP99
Q9NZW4
P09919
P13591
P0DN86
COMPLEX:P01857_P0CG04
P29279
O95897
P11150
P04141
P27658
Q9HCM2
Q96DU3
Q9C098
Q9NT99
P56706
COMPLEX:P29460_Q9NPF7
P43026
P49913
P13236
P43489
O00744
P07359
Q86XS5
P05997
Q8TAX7
Q9UMD9
P07093
P01911
Q16610
Q9BZM6
A8TX70
O94991
Q8NAU1
P46379
Q15238
P61812
P22004
Q00887
Q16832
P22003
P05014
Q8N441
Q8NHL6
Q12805
D3W0D1
P22301
Q14031
P41597
Q9NQ30
P23510
P21941
P78417
O14931
P25063
Q96H15
P04070
P08138
P23229
Q9UHG2
P23471
P27918
Q9NRA1
Q9NR61
O94907
P12318
Q9HCN6
Q9HCB6
Q9BZR6
Q00005
P16234
P06340
O00300
P14209
Q969E3
P20062
Q13753
P19438
P55107
P14625
P61160
Q14011
Q96HF1
P08069
COMPLEX:P05556_Q13797
Q13046
P00742
P10147
P09382
Q9Y4X3
P08962
P16410
P27539
Q96PD2
Q9H1J5
P04196
Q8IU54
P35222
Q6KF10
Q30154
Q96F46
Q9P2V4
P12544
Q92688
P00813
O75051
O00592
Q8N0V4
Q96JQ0
P24001
Q2UY09
Q9BZG2
P01229
P11142
P12821
P01236
O95971
Q6UX41
P20774
Q99715
Q99217
A0A1B0GTJ6
P62873
P10909
P50281
P19320
Q9NTN9
Q8NBP7
Q07157
Q14344
P18084
P29400
Q9NWZ3
O75094
Q9P126
P36894
O94898
Q09470
Q9NRR1
P19440
P05113
P83859
P00995
P54108
Q8NC67
O95970
Q9NS98
P35590
P14138
P08949
P62079
Q9NP84
P30533
P28329
O43612
Q06643
Q495A1
O95727
P20849
P07477
P35070
P06850
P29322
COMPLEX:P29459_Q14213
Q93097
P10997
O95972
Q16288
P12004
O43184
Q9BYF1
P01019
P48023
P30203
COMPLEX:P05106_P08514
Q96QR1
Q9Y4D7
P08603
P51679
P01732
O00634
Q5DX21
P48061
P16150
P22105
Q7Z4H4
P03971
Q9Y286
P55075
O75970
Q9HCT0
P05112
P03372
Q10589
Q8IZJ0
Q9H293
O75131
P21709
P12272
Q9HDB5
P16562
O14511
P32881
O14904
P0DJI8
O43921
P0DMV8
Q9NPH3
P54762
Q5JU69
Q8IZC6
Q96FE5
Q96PD4
P28827
Q9GZT5
P07225
P16109
Q99748
P30874
COMPLEX:Q5H8C1_Q6UXI9_Q86XX4
P80370
Q92823
P36896
P10767
Q9UQ80
Q6UX27
Q92673
P16389
P05155
O14625
P25025
P41594
Q16671
P04899
P24530
O95760
P37287
P15391
Q86WN2
P0DMC3
P35052
