Q9P0K1
Q9H1R3
Q5HYA8
Q9GZQ6
COMPLEX:P27037_P37023
P10275
P04626
O00481
Q8NFJ6
O75330
COMPLEX:P24394_P78552
P11215
Q9NR96
P56749
Q9UKJ0
Q7Z7D3
O95858
P18627
P34741
Q96NI6
O60503
P50406
P46094
O75509
O15078
Q12866
P31997
O14788
O75787
COMPLEX:P27797_Q07954
P48145
Q6TCH7
Q92896
Q24JP5
O15354
Q96A54
P25189
COMPLEX:P04141_P15509_P32927
Q29983
O60565
Q08722
P51805
P02751
Q9HBG7
Q92854
COMPLEX:P36896_P37173
Q96JT2
P41587
O95406
Q96FV3
Q99466
Q9HCU4
O75473
P08922
O43300
Q14393
Q9NP99
P24043
Q9H3N8
Q9H313
Q6UWB1
P21731
Q9UP38_O75197
P46091
P59901
COMPLEX:Q08334_Q8IU57
Q9H1D0
P13591
Q86XT9
COMPLEX:O75578_P05556
O95867
Q8IUN9
Q9HCM2
COMPLEX:P29973_Q14028
Q13467_O75197
Q9C098
Q9NT99
P43026
O95490
P48050
P43489
O43561
P32302
P07359
Q9ULT6
Q13349
Q9UMD9
Q6W5P4
Q96JQ5
P01911
COMPLEX:P07949_Q9GZZ7
P08912
O60487
P07306
P61812
Q5JZY3
P29992
Q16832
P27824
COMPLEX:P27037_Q04771
Q8N441
Q8NHL6
D3W0D1
Q07021
P41597
Q14031
P23510
O14931
Q96H15
P04070
Q9P244
P08138
P23229
P16615
Q99677
P23471
Q9UNE0
COMPLEX:P07949_P56159
COMPLEX:P26992_P40189_P42702
Q9NYK1
Q9NRA1
Q8IW52
Q9NR61
P12318
Q9HCN6
Q9BZR6
P16234
COMPLEX:P35916_P35968
O00300
P19438
Q13753
P61160
COMPLEX:P27037_P36896
P13473
P08069
COMPLEX:P05556_Q13797
Q9Y5Y9
Q6W4X9
P29371
P08962
P16410
Q14954
Q9BX97
P41595
Q96PD2
Q9HCK4
P08172
Q96F46
O75051
Q14832
O00592
Q9Y5V3
COMPLEX:P05231_P08887_P40189
Q9UP38
Q96JQ0
P26010
O95971
P29275
P47890
Q6UX41
Q9Y6N8
O60241
COMPLEX:O00451_P07949
Q01718
P52961
P50895
Q8IUI8
Q92729
P19320
Q9NTN9
Q07157
Q9H1Z9
P18084
P29400
Q96BY9
Q9P126
P36894
Q9NZH0
P11279
O15455
Q9NZ08
Q8NC67
Q9ULV1_O75197
P35590
P30988
P62079
Q8TDQ0
Q9NP84
Q86T13
P30533
Q96J84
O00254
Q06643
P28336
O00421
Q495A1
O95727
P54826
P29322
P47872
Q16288
COMPLEX:P16144_P23229
P33151
O43184
Q9BYF1
P48023
P30203
COMPLEX:P04233_P61073
COMPLEX:P05106_P08514
P53985
Q9Y4D7
P21917
Q6PHW0
P51679
O95471
P01732
Q5DX21
Q13507
P16150
Q9Y286
P03971
Q9H228
Q96PE1
P03372
Q99572
COMPLEX:P19320_P26010
P21709
COMPLEX:P0CG37_P27037_P36896
Q9HDB5
O14511
Q9UPZ6
COMPLEX:P16871_P31785
Q6YHK3
O43921
Q9NPH3
P54762
COMPLEX:P36894_Q13873
Q96FE5
P28827
COMPLEX:Q08334_Q13651
P16109
Q9NX61
Q99748
P30874
P98155
P80370
Q92823
P36896
